,year,state_fips_code,county_fips_code,pred_qty_oxy
585,2013,37,59,64037.63272843961
586,2013,37,57,171700.78069026474
587,2013,37,61,70043.98265932636
588,2013,37,63,181369.6061648194
589,2013,37,91,62609.16465456224
590,2013,37,105,69736.73140842916
591,2013,37,129,175544.67613394186
592,2013,37,141,66722.40040842917
593,2013,40,41,61099.20388665941
594,2013,40,45,25397.671332970538
595,2013,40,51,60698.690999186365
596,2013,40,119,65924.97491748224
597,2013,40,125,61983.13739283226
598,2013,40,37,63699.63844221497
599,2013,40,141,37006.554170160474
600,2013,40,149,42438.15023436332
601,2013,40,33,42449.3858784002
602,2013,40,75,47642.97047228935
603,2013,40,79,65893.26049919565
604,2013,40,89,61872.59232308542
605,2013,40,93,44561.43397225489
606,2013,40,97,56233.48344221497
607,2013,40,109,248497.90224862128
608,2013,40,39,47583.07623430164
609,2013,40,85,42694.16891507995
610,2013,40,9,43706.63288010733
611,2013,40,23,54225.89843168817
612,2013,40,65,51815.25133540211
613,2013,40,81,52295.28171589918
614,2013,40,117,44747.62912098601
615,2013,40,133,61000.61647274405
616,2013,40,25,23959.942317033165
617,2013,40,11,42474.89746040159
618,2013,40,29,53118.86152344379
619,2013,40,53,24406.023151152356
620,2013,40,73,42537.52907805422
621,2013,40,87,48588.46730094301
622,2013,40,95,45048.52393822412
623,2013,40,103,44358.51649755019
624,2013,40,105,44385.03797063551
625,2013,40,131,131441.21380191616
626,2013,40,135,66664.35898856613
627,2013,40,3,42260.63281044802
628,2013,40,151,42729.86401987551
629,2013,40,27,172759.409632015
630,2013,40,107,49502.361035492446
631,2013,40,5,44384.38847817
632,2013,37,191,157826.6060547177
633,2013,41,61,54484.283062857074
634,2013,41,47,190966.5945404937
635,2013,41,19,148826.7579849473
636,2013,41,31,52383.295360896525
637,2013,41,53,141809.2432298511
638,2013,41,17,172635.0610497618
639,2013,41,43,157258.01829817286
640,2013,41,71,141771.89693734946
641,2013,41,1,51080.62806085442
642,2013,41,35,71035.91776110041
643,2013,41,41,67837.59176110041
644,2013,41,3,87527.94417627138
645,2013,41,13,55624.51892200331
646,2013,41,55,31310.160764339846
647,2013,41,25,36642.40423557993
648,2013,41,45,61828.71650165683
649,2013,41,63,35004.53348570722
650,2013,41,69,25827.9471837291
651,2013,41,49,48261.45175688581
652,2013,41,11,70472.16609443375
653,2013,37,83,69608.41427916441
654,2013,37,1,168456.60380025618
655,2013,37,177,59040.974863452575
656,2013,38,89,47137.79954605051
657,2013,38,103,24065.101159365426
658,2013,38,13,24530.870616309738
659,2013,38,61,41841.030536491206
660,2013,38,105,44474.87060325991
661,2013,38,7,26015.153572617986
662,2013,38,43,24223.244116309736
663,2013,38,19,23575.080619785454
664,2013,38,37,24625.075616309736
665,2013,38,49,25091.40915115236
666,2013,38,91,24523.494535769216
667,2013,38,5,41530.37033044027
668,2013,38,45,24583.937659365427
669,2013,38,59,49846.068214371015
670,2013,38,25,25770.15575460352
671,2013,38,51,28410.952634654936
672,2013,38,63,21299.161838175765
673,2013,38,79,58670.531027404126
674,2013,38,99,42277.03596650443
675,2013,38,9,26862.783666123032
676,2013,38,3,26696.386466246135
677,2013,38,35,61484.303499186375
678,2013,38,53,42697.14742352966
679,2013,38,55,31881.670247065314
680,2013,38,69,27060.134852912142
681,2013,38,75,25602.891770841936
682,2013,38,11,25689.491245604597
683,2013,38,15,136119.91277386865
684,2013,38,47,24347.002035769216
685,2013,38,65,24633.805895520738
686,2013,38,93,45942.14836748107
687,2013,38,71,44534.23473864139
688,2013,38,31,25656.557317033163
689,2013,38,39,24319.660616309735
690,2013,37,165,64717.36406583754
691,2013,37,189,66866.39232047433
692,2013,38,83,24154.425644046558
693,2013,38,87,24462.052144046556
694,2013,39,159,57920.30633251971
695,2013,39,131,61348.73353536302
696,2013,39,125,48908.57012478541
697,2013,39,61,255124.96100072205
698,2013,39,49,258314.9737841915
699,2013,39,101,70144.26176110041
700,2013,39,157,144386.31654073627
701,2013,39,169,146971.33881000127
702,2013,39,15,65310.100625820465
703,2013,39,17,178958.57681279667
704,2013,39,67,34339.797049335226
705,2013,39,83,61994.070776964145
706,2013,39,89,163533.72317009867
707,2013,39,139,171021.00921470523
708,2013,39,163,38016.00349671345
709,2013,39,19,44533.9801792053
710,2013,39,63,137997.12998727494
711,2013,39,39,57461.766015446716
712,2013,39,71,64141.34147849171
713,2013,39,69,54723.16587685249
714,2013,39,81,72339.51799919565
715,2013,39,133,167570.36652260233
716,2013,39,137,50191.00250137813
717,2013,39,13,69575.65199919566
718,2013,39,27,64212.08640842917
719,2013,39,47,56400.80347163765
720,2013,39,127,59428.152757725846
721,2013,39,129,65142.47140842916
722,2013,39,97,55438.90815253014
723,2013,39,119,146451.23072609503
724,2013,39,143,69321.08622521041
725,2013,39,161,50473.94995563232
726,2013,39,167,67091.07176110041
727,2013,39,11,58412.31754991102
728,2013,39,37,59322.93916102211
729,2013,39,123,63983.01657509584
730,2013,39,65,53150.070098430195
731,2013,39,79,64073.48243245205
732,2013,39,77,69908.02090842917
733,2013,39,9,73546.35592123112
734,2013,39,1,55677.611454878424
735,2013,39,103,164489.54236057485
736,2013,39,95,240903.13463279756
737,2013,39,121,50122.45426739635
738,2013,39,147,66553.20898473846
739,2013,39,151,183722.78422377765
740,2013,39,31,60467.14175217593
741,2013,39,41,160874.11637926244
742,2013,39,55,145399.372571353
743,2013,39,73,52774.80236102348
744,2013,39,85,167250.67244366612
745,2013,39,141,135689.308311004
746,2013,39,35,247438.0042365725
747,2013,39,75,34100.68286329426
748,2013,39,109,154765.53440653713
749,2013,39,25,171347.01153045258
750,2013,39,45,167440.07393910745
751,2013,39,111,35300.49744080167
752,2013,39,155,176463.15148896605
753,2013,39,173,165928.40169346408
754,2013,39,5,65996.53740842917
755,2013,40,43,26720.19881044801
756,2013,40,59,26609.286039614683
757,2013,40,83,56118.87883251971
758,2013,40,143,248053.71767719268
759,2013,40,147,61560.7593325197
760,2013,40,57,35614.72801762833
761,2013,40,61,54880.09589614787
762,2013,40,111,58535.9856062132
763,2013,40,113,60912.01266585304
764,2013,40,67,48149.14930122157
765,2013,40,47,64035.85985456556
766,2013,40,49,45678.926161287185
767,2013,40,121,62704.91299919564
768,2013,40,123,58901.9876606383
769,2013,40,129,25378.501332970536
770,2013,40,153,42342.26968034098
771,2013,40,21,62085.084386659415
772,2013,30,73,45203.61735551545
773,2013,30,111,158222.79162419986
774,2013,30,63,137892.819094756
775,2013,30,81,63052.68521999275
776,2013,30,105,43600.0714008263
777,2013,30,13,135840.16436227495
778,2013,30,27,26751.387698258557
779,2013,30,33,24992.931072617987
780,2013,30,61,38646.52169945046
781,2013,30,69,26877.479783619627
782,2013,30,77,26406.342518125217
783,2013,30,89,57313.16204577581
784,2013,30,109,24863.486072617983
785,2013,30,31,136198.75277386865
786,2013,30,59,25436.980195272394
787,2013,30,9,26587.785364477397
788,2013,30,1,27531.88987255333
789,2013,30,29,147328.86240860165
790,2013,30,65,25545.840579723787
791,2013,31,83,24654.911264242433
792,2013,31,185,43652.2331283477
793,2013,31,19,60170.02055094302
794,2013,31,37,43752.022456746614
795,2013,31,87,24767.922317033164
796,2013,31,141,48640.404891754995
797,2013,31,143,25171.444579723786
798,2013,31,13,44624.50231111142
799,2013,31,17,30116.483002138397
800,2013,31,161,42777.804955920146
801,2013,31,109,179208.54378020403
802,2013,31,129,18391.818261520544
803,2013,31,7,26844.374644046555
804,2013,31,63,23916.187317033164
805,2013,31,55,245669.06489121178
806,2013,31,147,26078.318773975476
807,2013,31,151,44392.212524997674
808,2013,31,173,47816.22013068017
809,2013,31,177,33355.70385686131
810,2013,31,31,27670.007746390453
811,2013,31,53,49531.48730094302
812,2013,31,69,24625.075616309736
813,2013,31,123,26261.154628629833
814,2013,31,127,27266.444019215814
